inci_name,display_name,function,is_active,fa_trigger,comedogenic,fragrance,eu_allergen,alcohol_type,pregnancy_caution,product_count
polysorbate 20,Polysorbate 20,Emulsifier / solubilizer,0,1,,0,0,,0,410
butylene glycol,Butylene Glycol,Humectant / solvent,0,0,,0,0,,0,940
melaleuca alternifolia (tea tree) oil,Melaleuca Alternifolia (Tea Tree) Oil,Antimicrobial/antiseptic active,1,1,,0,0,,0,1
simmondsia chinensis seed oil,Simmondsia Chinensis Seed Oil,Emollient / occlusive,0,1,2,0,0,,0,50
tea tree oil,Tea Tree Oil,Antimicrobial/anti-inflammatory active,1,1,,0,0,,0,8
argania spinosa kernel oil,Argania Spinosa Kernel Oil,Emollient / skin-conditioning oil,0,1,1,0,0,,0,52
cetyl alcohol,Cetyl Alcohol,Emollient / emulsifier,0,0,,0,0,fatty,0,346
cocos nucifera oil,Cocos Nucifera Oil,Emollient/occlusive,0,1,4,0,0,,0,47
sorbitan olivate,Sorbitan Olivate,Emulsifier,0,1,,0,0,,0,162
punica granatum seed oil,Punica Granatum Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,13
caprylic capric triglyceride,Caprylic/Capric Triglyceride,Emollient / skin-conditioning agent,0,0,,0,0,,0,670
helianthus annuus seed oil,Helianthus Annuus Seed Oil,Emollient / skin-conditioning oil,0,1,0,0,0,,0,95
lactobacillus,Lactobacillus,Probiotic/skin-conditioning,1,1,,0,0,,0,18
polysorbate 60,Polysorbate 60,Emulsifier / surfactant,0,1,,0,0,,0,110
ascorbyl palmitate,Ascorbyl Palmitate,Antioxidant / Vitamin C derivative,1,1,,0,0,,0,54
olea europaea oil,Olea europaea oil,Emollient / occlusive,0,1,,0,0,,0,2
shea butter,Shea Butter,Emollient / occlusive moisturizer,0,,2,0,0,,0,50
prunus amygdalus dulcis oil,Prunus Amygdalus Dulcis Oil,Emollient / skin-conditioning oil,0,1,2,0,0,,0,86
rosa canina seed oil,Rosa Canina Seed Oil,Emollient / antioxidant oil,0,1,1,0,0,,0,19
glyceryl monostearate,Glyceryl Monostearate,Emulsifier / emollient,0,1,,0,0,,0,108
coco caprylate caprate,Coco-Caprylate/Caprate,Emollient / skin-conditioning agent,0,1,,0,0,,0,146
simmondsia chinensis (jojoba) seed oil,Simmondsia Chinensis (Jojoba) Seed Oil,Emollient / moisturizer,0,1,,0,0,,0,64
ricinus communis seed oil,Ricinus Communis Seed Oil,Emollient / occlusive,0,0,,0,0,,0,24
cocos nucifera (coconut) oil,Cocos Nucifera (Coconut) Oil,Emollient/occlusive,0,1,,0,0,,0,40
theobroma cacao seed butter,Theobroma Cacao Seed Butter,Emollient/occlusive,0,,4,0,0,,0,41
isopropyl myristate,Isopropyl Myristate,Emollient / skin-conditioning agent,0,1,5,0,0,,0,178
glyceryl citrate lactate linoleate oleate,Glyceryl Citrate/Lactate/Linoleate/Oleate,Emulsifier / emollient,0,1,,0,0,,0,16
olea europaea fruit oil,Olea Europaea Fruit Oil,Emollient / occlusive,0,1,2,0,0,,0,51
lactococcus ferment lysate,Lactococcus Ferment Lysate,Probiotic-derived skin conditioning agent,1,1,,0,0,,0,16
retinyl palmitate,Retinyl Palmitate,Antioxidant / retinoid (vitamin A derivative),1,1,,0,0,,1,58
cocoa butter,cocoa butter,Emollient/occlusive moisturizer,0,,4,0,0,,0,24
linoleic acid,Linoleic Acid,Skin-barrier lipid / emollient,1,1,,0,0,,0,39
persea gratissima oil,Persea Gratissima Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,29
sucrose,Sucrose,Humectant / emollient,0,1,,0,0,,0,37
ricinus communis (castor) oil,Ricinus Communis (Castor) Oil,Emollient / occlusive,0,1,,0,0,,0,2
polysorbate 80,Polysorbate 80,Emulsifier / surfactant / solubilizer,0,1,,0,0,,0,78
myristic acid,Myristic Acid,Surfactant/cleansing agent,0,1,,0,0,,0,84
lauric acid,Lauric Acid,Cleansing/surfactant & emollient fatty acid,0,1,,0,0,,0,81
simmondsia chinensis (jojoba) oil,Simmondsia Chinensis (Jojoba) Oil,Emollient / moisturizer,0,1,,0,0,,0,4
cetearyl olivate,Cetearyl Olivate,Emulsifier / emollient,0,1,,0,0,,0,146
oenothera biennis oil,Oenothera Biennis Oil,Emollient / skin-conditioning oil,1,1,,0,0,,0,6
ethylhexyl palmitate,Ethylhexyl Palmitate,Emollient / skin-conditioning agent,0,1,,0,0,,0,62
melaleuca alternifolia leaf oil,Melaleuca Alternifolia Leaf Oil,Antimicrobial/antiseptic,1,1,,0,0,,0,44
arbutin,Arbutin,Skin-brightening agent,1,,,0,0,,1,28
ricinus communis (castor) seed oil,Ricinus Communis (Castor) Seed Oil,Emollient / occlusive,0,1,,0,0,,0,10
melaleuca alternifolia oil,Melaleuca Alternifolia Oil,Antimicrobial / anti-inflammatory active,1,1,,0,0,,0,0
cetostearyl alcohol,Cetostearyl Alcohol,Emollient / emulsifier,0,0,,0,0,fatty,0,59
almond oil,Almond Oil,Emollient / skin-conditioning oil,0,1,2,0,0,,0,13
kojic dipalmitate,Kojic Dipalmitate,Skin-brightening agent,1,1,,0,0,,0,12
behenyl alcohol,Behenyl Alcohol,Emollient / Thickener,0,0,,0,0,fatty,0,134
kojic acid dipalmitate,Kojic Acid Dipalmitate,Skin-brightening agent,1,1,,0,0,,0,25
isoamyl laurate,Isoamyl Laurate,Emollient,0,1,,0,0,,0,46
saccharomyces xylinum black tea ferment,Saccharomyces/Xylinum/Black Tea Ferment,Fermented humectant/conditioning agent,1,1,,0,0,,0,7
polyglyceryl 3 polyricinoleate,Polyglyceryl-3 Polyricinoleate,Emulsifier,0,1,,0,0,,0,30
peg 7 glyceryl cocoate,PEG-7 Glyceryl Cocoate,Emollient/surfactant,0,1,,0,0,,0,54
lactobacillus pear juice ferment filtrate,Lactobacillus/Pear Juice Ferment Filtrate,Skin conditioning / fermented humectant,0,1,,0,0,,0,15
hexyldecyl laurate,Hexyldecyl Laurate,Emollient/skin-conditioning agent,0,1,,0,0,,0,2
myristyl myristate,Myristyl Myristate,Emollient / thickener,0,1,5,0,0,,0,24
alcohol,Alcohol,Solvent / penetration enhancer,0,,,0,0,drying,0,64
petrolatum,Petrolatum,Occlusive emollient/moisturizer,0,0,1,0,0,,0,33
paraffinum liquidum,Paraffinum Liquidum,Emollient/occlusive,0,0,2,0,0,,0,87
glycerol stearate,Glycerol Stearate,Emulsifier/emollient,0,1,,0,0,,0,3
boswellia carterii oil,Boswellia Carterii Oil,Soothing/fragrance (anti-inflammatory aromatic oil),0,1,,0,0,,0,4
virgin coconut oil,Virgin Coconut Oil,Emollient/occlusive,0,1,,0,0,,0,1
mentha piperita (peppermint) oil,Mentha Piperita (Peppermint) Oil,Fragrance/refreshing agent,0,1,,0,0,,0,8
lavandula angustifolia (lavender) oil,Lavandula Angustifolia (Lavender) Oil,Fragrance/essential oil,0,1,,0,0,,0,23
olea europaea (olive) oil,Olea Europaea (Olive) Oil,Emollient / occlusive,0,1,,0,0,,0,12
punica granatum (pomegranate) oil,Punica Granatum (Pomegranate) Oil,Emollient / antioxidant,1,1,,0,0,,0,0
glycol distearate,Glycol Distearate,"Opacifier/pearlescent agent, emollient",0,1,,0,0,,0,71
arachidyl alcohol,Arachidyl Alcohol,Emollient / emulsion stabilizer,0,0,,0,0,fatty,0,48
pentaerythrityl distearate,Pentaerythrityl Distearate,Emollient / thickener,0,1,,0,0,,0,37
glyceryl glucoside,Glyceryl Glucoside,Humectant / moisturizer,1,1,,0,0,,0,120
moringa oleifera seed oil,Moringa Oleifera Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,18
mineral oil,Mineral Oil,Occlusive emollient,0,0,2,0,0,,0,19
hippophae rhamnoides fruit oil,Hippophae Rhamnoides Fruit Oil,Emollient/antioxidant,1,1,,0,0,,0,6
sorbitan stearate,Sorbitan Stearate,Emulsifier / surfactant,0,1,,0,0,,0,46
sucrose cocoate,Sucrose Cocoate,Emollient/surfactant,0,1,,0,0,,0,22
cetyl pg hydroxyethyl palmitate,Cetyl-PG Hydroxyethyl Palmitate,Emollient/co-emulsifier,0,1,,0,0,,0,7
rosa rubiginosa seed oil,Rosa Rubiginosa Seed Oil,Emollient / antioxidant oil,1,1,,0,0,,0,4
persea gratissima (avocado) oil,Persea Gratissima (Avocado) Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,28
parfum,Parfum,Fragrance,0,,,1,0,,0,409
melaleuca alternafolia leaf oil,Melaleuca Alternafolia Leaf Oil,Antimicrobial/antiseptic,1,1,,0,0,,0,2
glycol stearate,Glycol Stearate,Emollient / opacifying agent,0,1,,0,0,,0,13
rosa rubiginosa (rosehip) seed oil,Rosa Rubiginosa (Rosehip) Seed Oil,Emollient / antioxidant oil,1,1,,0,0,,0,5
carthamus tinctorius (safflower) oil,Carthamus Tinctorius (Safflower) Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
vitis vinifera (grape) seed oil,Vitis Vinifera (Grape) Seed Oil,Emollient / antioxidant oil,0,1,,0,0,,0,19
propylene glycol dicaprylate dicaprate,Propylene Glycol Dicaprylate/Dicaprate,Emollient/skin-conditioning agent,0,1,,0,0,,0,21
limnanthes alba seed oil,Limnanthes Alba Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,11
prunus armeniaca kernel oil,Prunus Armeniaca Kernel Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,18
rosa rugosa flower oil,Rosa Rugosa Flower Oil,Fragrance/skin conditioning oil,0,1,,0,0,,0,2
magnesium oil,Magnesium Oil,Mineral / transdermal magnesium source,1,1,,0,0,,0,0
chamomile oil,Chamomile Oil,Soothing/anti-inflammatory botanical,1,1,,0,0,,0,1
calendula officinalis oil,Calendula Officinalis Oil,Soothing emollient,0,1,,0,0,,0,1
avena sativa (oat) kernel oil,Avena Sativa (Oat) Kernel Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
rosa canina (rosehip) seed oil,Rosa Canina (Rosehip) Seed Oil,Emollient / antioxidant oil,0,1,,0,0,,0,3
sclerocarya birrea seed oil,Sclerocarya Birrea Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,6
boswellia sacra oil,Boswellia Sacra Oil,Soothing/aromatic botanical oil,0,1,,0,0,,0,0
santalum album oil,Santalum Album Oil,Fragrance/Antimicrobial,0,1,,0,0,,0,6
extra virgin olive oil,Extra Virgin Olive Oil,Emollient / occlusive,0,1,,0,0,,0,1
castor oil,Castor Oil,Emollient / occlusive,0,0,1,0,0,,0,4
sweet almond oil,Sweet Almond Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
cedrus atlantica (cedarwood) oil,Cedrus Atlantica (Cedarwood) Oil,Fragrance/essential oil,0,1,,0,0,,0,0
ricinus communis oil,Ricinus Communis Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,0
terminalia ferdinandiana (kakadu plum) oil,Terminalia ferdinandiana (Kakadu Plum) Oil,Antioxidant / emollient,1,1,,0,0,,0,1
cananga odorata (ylang ylang) oil,Cananga Odorata (Ylang Ylang) Oil,Fragrance/essential oil,0,1,,0,0,,0,0
olea europaea (olive) fruit oil,Olea Europaea (Olive) Fruit Oil,Emollient / occlusive,0,1,,0,0,,0,42
calophyllum inophyllum (tamanu) oil,Calophyllum Inophyllum (Tamanu) Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
prunus amygdalus dulcis (almond) oil,Prunus Amygdalus Dulcis (Almond) Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,8
oleic acid,Oleic Acid,Emollient / penetration enhancer,0,1,,0,0,,0,17
coffea arabica oil,Coffea Arabica Oil,Antioxidant / emollient,0,1,,0,0,,0,0
coffea arabica seed oil,Coffea Arabica Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,11
olive oil methyl ester,Olive Oil Methyl Ester,Emollient / skin-conditioning agent,0,1,,0,0,,0,5
ethyl olivate,Ethyl Olivate,Emollient / skin-conditioning agent,0,1,,0,0,,0,11
olive oil,Olive Oil,Emollient / occlusive,0,1,2,0,0,,0,14
lemon oil,Lemon Oil,Fragrance/antioxidant,0,1,,0,0,,0,2
marula oil,Marula Oil,Emollient / antioxidant facial oil,0,1,,0,0,,0,3
hemp oil,Hemp Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
wheat germ oil,Wheat Germ Oil,Emollient / antioxidant,0,1,5,0,0,,0,5
ester of ethyl olivate & olive oil methyl ester,Ester Of Ethyl Olivate & Olive Oil Methyl Ester,Emollient / skin-conditioning agent,0,1,,0,0,,0,0
glyceryl,Glyceryl,Emollient/humectant,0,1,,0,0,,0,1
polyglyceryl 6 laurate,Polyglyceryl-6 Laurate,Emulsifier / surfactant,0,1,,0,0,,0,9
polyvinyl alcohol,Polyvinyl Alcohol,Film-forming agent / viscosity modifier,0,,,0,0,drying,0,11
passiflora edulis seed oil,Passiflora Edulis Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,2
rosa damascena oil,Rosa Damascena Oil,"Fragrance/aromatic, skin-conditioning",0,1,,0,0,,0,1
oenothera biennis (evening primrose) oil,Oenothera Biennis (Evening Primrose) Oil,Emollient / skin-conditioning oil,1,1,,0,0,,0,11
curcuma longa (turmeric) oil,Curcuma Longa (Turmeric) Oil,Antioxidant / anti-inflammatory botanical,1,1,,0,0,,0,1
esters of ethyl olivate and olive oil methyl ester,Esters Of Ethyl Olivate And Olive Oil Methyl Ester,Emollient/skin-conditioning agent,0,1,,0,0,,0,0
lactobacillus ferment filtrate,Lactobacillus Ferment Filtrate,Probiotic-derived skin conditioning/soothing agent,1,1,,0,0,,0,1
benzyl alcohol and ethylhexylglycerin and tocopherol,Benzyl Alcohol And Ethylhexylglycerin And Tocopherol,Preservative/antioxidant blend,0,,,0,0,drying,0,0
glyceryl polyacrylate,Glyceryl Polyacrylate,Hydrating film-former / thickener,0,1,,0,0,,0,16
polyglyceryl 2 dipolyhydroxystearate,Polyglyceryl-2 Dipolyhydroxystearate,Emulsifier,0,1,,0,0,,0,8
helianthus annuus (sunflower) seed oil,Helianthus Annuus (Sunflower) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,117
hydrogenated soybean oil,Hydrogenated Soybean Oil,Emollient / Skin conditioning agent,0,1,,0,0,,0,2
peg 20 glyceryl triisostearate,PEG-20 Glyceryl Triisostearate,Emulsifier / surfactant,0,1,,0,0,,0,5
jojoba oil,Jojoba Oil,Emollient / moisturizer,0,1,2,0,0,,0,11
argania spinosa (argan) kernel oil,Argania Spinosa (Argan) Kernel Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,11
macadamia seed oil esters,Macadamia Seed Oil Esters,Emollient,0,1,,0,0,,0,1
cetyl palmitate,Cetyl Palmitate,Emollient / Thickener,0,1,,0,0,,0,32
polyglyceryl 3 caprate,Polyglyceryl-3 Caprate,Emulsifier / surfactant,0,1,,0,0,,0,6
lauryl laurate,Lauryl Laurate,Emollient / texture enhancer,0,1,,0,0,,0,2
saccharomyces ferment lysate filtrate,Saccharomyces Ferment Lysate Filtrate,Conditioning/antioxidant active,1,1,,0,0,,0,9
melia azadirachta leaf oil,Melia Azadirachta Leaf Oil,Antimicrobial/Botanical extract,1,1,,0,0,,0,1
calophyllum inophyllum seed oil,Calophyllum Inophyllum Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,6
eucalyptus globulus leaf oil,Eucalyptus Globulus Leaf Oil,"Fragrance/essential oil (aromatic, antimicrobial)",0,1,,0,0,,0,11
stearyl alcohol,Stearyl Alcohol,Emollient/emulsifier,0,0,,0,0,fatty,0,75
camellia oleifera seed oil,Camellia Oleifera Seed Oil,Emollient / antioxidant oil,0,1,,0,0,,0,3
zingiber officinale root oil,Zingiber Officinale Root Oil,Fragrance/antioxidant,0,1,,0,0,,0,5
citrus aurantium bergamia fruit oil,Citrus Aurantium Bergamia Fruit Oil,Fragrance / essential oil,0,1,,0,0,,0,4
cococaprylate caprate,CocoCaprylate/Caprate,Emollient,0,1,,0,0,,0,1
dicaprylate dicaprate,Dicaprylate/Dicaprate,Emollient/skin-conditioning agent,0,1,,0,0,,0,5
isostearic acid,Isostearic Acid,Emollient/emulsifier,0,1,,0,0,,0,33
helianthus annuus (sunflower) oil,Helianthus Annuus (Sunflower) Oil,Emollient/Occlusive,0,1,,0,0,,0,3
polysorbate 40,Polysorbate 40,Emulsifier / surfactant,0,1,,0,0,,0,4
zinc ricinoleate,Zinc Ricinoleate,Odor absorber / deodorizing agent,0,1,,0,0,,0,4
elettaria cardamomum seed oil,Elettaria Cardamomum Seed Oil,"Fragrance/aromatic, antioxidant",0,1,,0,0,,0,2
hydrogenated castor oil,Hydrogenated Castor Oil,Emollient / emulsifier,0,1,,0,0,,0,21
ascorbyl tetraisopalmitate,Ascorbyl Tetraisopalmitate,Antioxidant / Vitamin C derivative,1,1,,0,0,,0,35
cucumis sativus (cucumber) seed oil,Cucumis Sativus (Cucumber) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,0
olea europaea oil unsaponifiables,Olea Europaea Oil Unsaponifiables,Emollient / skin-conditioning agent,0,1,,0,0,,0,3
euterpe oleracea fruit oil,Euterpe oleracea fruit oil,Emollient / antioxidant,0,1,,0,0,,0,1
ferment extracts,Ferment Extracts,Conditioning/soothing active,1,1,,0,0,,0,1
magnesium stearate,Magnesium Stearate,Anti-caking agent / emulsion stabilizer / lubricant,0,1,,0,0,,0,7
bis diglyceryl polyacyladipate 2,Bis-Diglyceryl Polyacyladipate-2,Emollient/occlusive,0,1,,0,0,,0,11
rice ferment filtrate,Rice Ferment Filtrate,Humectant / antioxidant,1,1,,0,0,,0,18
rice ferment,Rice Ferment,Humectant/skin-conditioning,0,1,,0,0,,0,0
daucus carota sativa (carrot) seed oil,Daucus Carota Sativa (Carrot) Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,12
grapefruit seed oil,Grapefruit Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,0
euterpe oleracea oil,Euterpe Oleracea Oil,Emollient / antioxidant,0,1,,0,0,,0,0
triticum vulgare (wheat germ) oil,Triticum Vulgare (Wheat Germ) Oil,Emollient / antioxidant,0,1,,0,0,,0,1
calendula oil,Calendula Oil,Soothing emollient / anti-inflammatory botanical oil,0,1,,0,0,,0,0
acai oil,Acai Oil,Emollient/antioxidant,0,1,,0,0,,0,0
sea buckthorn oil,Sea Buckthorn Oil,Emollient / antioxidant,1,1,,0,0,,0,2
pro retinol,Pro Retinol,Anti-aging retinoid (vitamin A derivative),1,,,0,0,,1,0
passiflora edulis (passion fruit) oil,Passiflora Edulis (Passion Fruit) Oil,Emollient / antioxidant oil,0,1,,0,0,,0,0
triticum vulgare (wheat) germ oil,Triticum Vulgare (Wheat) Germ Oil,Emollient / antioxidant,0,1,,0,0,,0,3
aspergillus ferment,Aspergillus Ferment,Fermented extract / skin conditioning,1,1,,0,0,,0,5
calendula officinalis flower oil,Calendula Officinalis Flower Oil,Soothing/emollient botanical oil,0,1,,0,0,,0,2
isopropyl alcohol,Isopropyl Alcohol,Solvent/antimicrobial,0,,,0,0,drying,0,18
brassica campestris aleurites fordii oil copolymer,Brassica Campestris/Aleurites Fordii Oil Copolymer,Film former / emollient,0,1,,0,0,,0,1
prunus amygdalus dulcis (sweet almond) oil,Prunus Amygdalus Dulcis (Sweet Almond) Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,25
ricinus communis seed (castor) oil,Ricinus Communis Seed (Castor) Oil,Emollient / occlusive,0,1,,0,0,,0,0
pelargonium graveolens (geranium) flower oil,Pelargonium Graveolens (Geranium) Flower Oil,Fragrance / botanical essential oil,0,1,,0,0,,0,2
vanilla planifolia (vanilla) fruit oil,Vanilla Planifolia (Vanilla) Fruit Oil,Fragrance/antioxidant,0,1,,0,0,,0,1
rosa damascena (rose) flower oil,Rosa Damascena (Rose) Flower Oil,Fragrance/skin-conditioning,0,1,,0,0,,0,6
moringa oleifera oil,Moringa Oleifera Oil,Emollient / antioxidant,0,1,,0,0,,0,2
corylus avellana seed oil,Corylus Avellana Seed Oil,Emollient,0,1,,0,0,,0,1
punica granatum (pomegranate) seed oil,Punica Granatum (Pomegranate) Seed Oil,Emollient / antioxidant oil,1,1,,0,0,,0,11
boswellia carterii (frankincense) oil,Boswellia Carterii (Frankincense) Oil,Astringent / fragrance,0,1,,0,0,,0,6
crocus sativus (saffron) oil,Crocus Sativus (Saffron) Oil,Antioxidant/skin-conditioning agent,1,1,,0,0,,0,7
simmondsia chinensis oil,Simmondsia Chinensis Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,3
daucus carota sativa seed oil,Daucus Carota Sativa Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,14
azadirachta indica (neem) oil,Azadirachta Indica (Neem) Oil,Emollient / antimicrobial,1,1,,0,0,,0,1
juniperus communis (juniper berry) oil,Juniperus Communis (Juniper Berry) Oil,Astringent/antimicrobial essential oil,0,1,,0,0,,0,0
rosa damascena flower oil,Rosa Damascena Flower Oil,Fragrance/Aromatic,0,1,,0,0,,0,24
santalum album (sandalwood) oil,Santalum Album (Sandalwood) Oil,Fragrance/antioxidant,0,1,,0,0,,0,10
rosa canina (rosehip) fruit oil,Rosa Canina (Rosehip) Fruit Oil,Emollient / antioxidant-rich oil,1,1,,0,0,,0,5
glyceryl oleate,Glyceryl Oleate,Emollient / emulsifier,0,1,,0,0,,0,71
lavandula angustifolia oil,Lavandula Angustifolia Oil,Fragrance / botanical extract,0,1,,0,0,,0,19
olive oil peg 7 esters,Olive Oil PEG-7 Esters,Emollient/emulsifier,0,1,,0,0,,0,55
citrus aurantium dulcis oil,Citrus Aurantium Dulcis Oil,Fragrance/essential oil,0,1,,0,0,,0,7
pelargonium graveolens flower oil,Pelargonium Graveolens Flower Oil,Fragrance/aromatic oil,0,1,,0,0,,0,27
citrus paradisi peel oil,Citrus Paradisi Peel Oil,Fragrance/masking agent,0,1,,0,0,,0,2
cannabis sativa seed oil,Cannabis Sativa Seed Oil,Emollient / skin-conditioning oil,0,1,0,0,0,,0,21
rosa canina oil,Rosa Canina Oil,Emollient / antioxidant oil,0,1,,0,0,,0,3
peg 120 methyl glucose dioleate,PEG-120 Methyl Glucose Dioleate,Thickener/emulsifier,0,1,,0,0,,0,47
lactobacillus ferment extract,Lactobacillus Ferment Extract,Probiotic-derived skin conditioning agent,1,1,,0,0,,0,7
soybean ferment extract,Soybean Ferment Extract,Antioxidant / brightening,1,1,,0,0,,0,3
prunus dulcis oil,Prunus Dulcis Oil,Emollient,0,1,,0,0,,0,2
pelargonium graveolens oil,Pelargonium Graveolens Oil,Fragrance/Essential oil,0,1,,0,0,,0,10
pelargonium graveolens (geranium) oil,Pelargonium Graveolens (Geranium) Oil,Fragrance/essential oil,0,1,,0,0,,0,10
hydrogenated vegetable oil,Hydrogenated Vegetable Oil,Emollient/occlusive,0,1,,0,0,,0,16
vitis vinifera seed oil,Vitis Vinifera Seed Oil,Emollient / antioxidant,0,1,1,0,0,,0,21
carthamus tinctorius seed oil,Carthamus Tinctorius Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,11
citrus aurantium dulcis peel oil,Citrus Aurantium Dulcis Peel Oil,Fragrance/flavoring agent,0,1,,0,0,,0,22
glyceryl stearate se,Glyceryl Stearate SE,Emulsifier / emollient,0,1,,0,0,,0,35
polyglyceryl 4 isostearate,Polyglyceryl-4 Isostearate,Emulsifier,0,1,,0,0,,0,8
citrus aurantium dulcis (orange) peel oil,Citrus Aurantium Dulcis (Orange) Peel Oil,Fragrance/essential oil,0,1,,0,0,,0,21
ethylhexyl olivate,Ethylhexyl Olivate,Emollient,0,1,,0,0,,0,24
citrus limon peel oil,Citrus Limon Peel Oil,Fragrance/skin conditioning,0,1,,0,0,,0,16
cannabis sativa (hemp) seed oil,Cannabis Sativa (Hemp) Seed Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,5
peg 60 hydrogenated castor oil,PEG-60 Hydrogenated Castor Oil,Solubilizer/emulsifier,0,1,,0,0,,0,24
glyceryl caprylate,Glyceryl Caprylate,Emollient / antimicrobial co-preservative,0,1,,0,0,,0,70
zinc stearate,Zinc Stearate,Anticaking/opacifying agent,0,1,,0,0,,0,5
dimethiconol stearate,Dimethiconol Stearate,Emollient / conditioning agent,0,1,,0,0,,0,0
octyldodecyl stearoyl stearate,Octyldodecyl Stearoyl Stearate,Emollient/skin-conditioning agent,0,1,,0,0,,0,7
pentaerythrityl tetraisostearate,Pentaerythrityl Tetraisostearate,Emollient/skin-conditioning agent,0,1,,0,0,,0,16
magnesium myristate,Magnesium Myristate,Anticaking agent / opacifying agent,0,1,,0,0,,0,1
salvia officinalis oil,Salvia Officinalis Oil,Antioxidant/fragrance,0,1,,0,0,,0,2
rosa canina fruit oil,Rosa Canina Fruit Oil,Emollient / antioxidant,0,1,,0,0,,0,10
phenethyl alcohol,Phenethyl Alcohol,Preservative / fragrance,0,,,0,0,drying,0,36
denatured alcohol,Denatured alcohol,Solvent / astringent,0,,,0,0,drying,0,5
salvia sclarea oil,Salvia Sclarea Oil,Fragrance/essential oil,0,1,,0,0,,0,5
olus oil,Olus Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,4
nigella sativa seed oil,Nigella Sativa Seed Oil,Emollient / antioxidant,1,1,,0,0,,0,3
